,rating,reviewerID,asin,review_text,reviewTime,product_id,buyer_id
0,5,A1D4G1SNUZWQOT,7106116521,Exactly what I needed.,"10 20, 2014",7846,515
1,2,A3DDWDH9PX2YX2,7106116521,"I agree with the other review, the opening is too small.  I almost bent the hook on some very expensive earrings trying to get these up higher than just the end so they're not seen.  Would not buy again but for the price, not sending back.","09 28, 2014",15434,373
2,4,A2MWC41EW7XL15,7106116521,Love these... I am going to order another pack to keep in work; someone (including myself) is always losing the back to an earring.  I don't understand why all fish hook earrings don't have them.  Just wish that they were a tiny bit longer.  :),"08 25, 2014",8321,624
3,2,A2UH2QQ275NV45,7106116521,too tiny an opening,"08 24, 2014",385,103
4,3,A89F3LQADZBS5,7106116521,Okay,"07 27, 2014",3491,730
5,5,A29HLOUW0NS0EH,7106116521,Exactly what I wanted.,"07 19, 2014",8380,839
6,4,A7QS961ROI6E0,7106116521,"These little plastic backs work great.  No more loosing ""hook"" earrings!  Wish I had ordered these sooner before I had lost some of my favorite earrings!","05 31, 2014",16434,697
7,3,A1BB77SEBQT8VX,B00007GDFV,mother - in - law wanted it as a present for her sister. she liked it and said it would work.,"09 22, 2013",9379,793
8,3,AHWOW7D1ABO9C,B00007GDFV,"Item is of good quality. Looks great, too. But it does not fit 100's! But it can be stretched to fit them if you carefully push bottom of case with your fingers. Then shove in a pack of 100's(max) and level it out as you close case stretching case closed. Leave a pk.in it for month or so & was la! Buxton is usually a good quality product!","07 17, 2013",9032,889
9,3,AKS3GULZE0HFC,B00007GDFV,"I had used my last el-cheapo fake leather cigarette case for SEVEN YEARS. It still closed completely but the plastic made to look like leather was literally falling off, so it was time for a new one. Cigarette cases for kings size cigs are not easy to come by these days I discovered, but I was thrilled to find this one on Amazon. It was a great price, REAL LEATHER, and even had the cool zipper pouch on the back. I was so excited to get my case and toss that other one! Well, within THREE DAYS one of the gold clasps literally broke off! I couldn't believe it! I tried to super glue it back on and was not successful. so, I still use the case but it doesn't close securely. I was very disappointed that my $3.00 plastic one lasted 7 years and this real nice leather one lasted 3 days!! But I still love the zipper pouch on the back, it's great for the spare key to my car because I will not go ANYWHERE without my cigarettes!","04 13, 2013",4068,805
10,4,A38NS6NF6WPXS,B00007GDFV,This brand has been around a long time and you can count on good quality merchandise.  Held up well with no rips or stitching problems!,"03 9, 2013",5402,670
11,2,A1KOKO3HTSAI1H,B00007GDFV,I smoke 100's and these are NOT made for them.  I can get my cigarettes in it but it won't close. I was very disappointed.,"01 27, 2013",8241,44
12,1,A1G3S57JGZNPCL,B00007GDFV,"cheap and cheesy, but i guess i could have expected that for the price, won't purchase another without seeing first","01 4, 2013",8788,940
13,1,AGBL3TTP6GV4X,B00007GDFV,"I ordered a ladies cigarette case for my wife, and a pack of Marlboro 100's would not fit in the case!!!!  I was ripped off!!!  A cigarette case should be able to hold any cigarette pack!!!!  I will not do business with Silverhooks again!!!!

It's not even worth the postage to send it back!!!!

Dissatisfied big time!!!!","07 30, 2012",3898,416
14,4,A1Y36BSE9GKXLV,B00007GDFV,"Received the case in less than a week...was very satisfied with the product...only one problem...not really a problem with product, but with price as inside the product was a Buxton tag that showed sugg retail at $9.99 and I paid $11.99.  Hmmm...didn't quite understand this, but what are you going to do?!  Beware...as I think that had I gone to the Buxton web site I may have been able to obtain the same product for the sugg retail price.","03 12, 2010",10767,577
15,3,A1L1U968VNYVA4,B00007GDFV,Love it but it tore up shortly after I got it. I ordered two and they both tore at the part that connects to the metal. Great seller though. Very prompt.,"10 31, 2017",19277,7
16,5,A1NSKPSR0XZ0C9,B00007GDFV,I love it it is just what I was looking for thank you!,"10 24, 2017",18805,851
17,5,A3O5SXH5O8DWRP,B00007GDFV,"Quality product, I am very happy with my purchase.","10 13, 2017",7135,161
